@RELATION dummy1

@ATTRIBUTE timestamp numeric
@ATTRIBUTE latitude numeric
@ATTRIBUTE longitude numeric
@ATTRIBUTE class {+1,-1}

@DATA
356,48.8852284498,2.3440874148,-1
356,45.4447206365,8.6185695642,-1
356,48.8520257983,2.3517949894,-1
360,48.8494217212,2.3444670497,+1
358,48.861454947,2.3484480333,-1
359,48.8557216609,2.3441095078,+1
358,48.8561587519,2.3419502628,-1
363,48.9403255713,2.3529608094,-1
361,48.8482812835,2.3073385894,-1
356,48.8496296269,2.314642509,-1
365,48.8628266252,2.3273080909,-1
362,48.8631291794,2.2924871725,-1
358,50.0819307169,8.2467721155,-1
361,50.0844204402,8.2458634475,-1
357,49.4422953925,1.0918125534,-1
357,48.8655515996,2.3481721886,+1
357,48.8674831764,2.3537795448,-1
365,48.896953985,2.3364393519,-1
364,48.8906615843,2.3901004087,-1
363,45.1474333107,5.7151380056,+1
356,49.4397855355,10.9900812672,-1
358,48.8852482791,2.2920800082,-1
357,48.8760350063,2.2963392634,-1
357,49.2556318783,4.0329694805,+1
367,48.8403266999,2.2841585063,-1
364,48.8411782546,2.2848406778,-1
360,48.8570648693,2.2848923645,-1
364,45.7825562289,4.8504973433,-1
359,45.7608993515,4.8535295937,-1
358,48.780829642,9.1840085817,-1
358,49.6121546615,6.1368745788,-1
362,48.8895578908,2.3901834214,-1
356,49.2569770546,4.0239453992,-1
359,48.8230154765,2.3398303445,-1
360,48.0160930984,7.826205899,-1
365,48.8226979868,2.3399795863,-1
360,48.8662237825,2.3383014152,-1
364,48.8663584094,2.3316374945,-1
362,48.8682890874,2.3373297139,+1
365,48.8771077325,2.3564240714,-1
363,48.8808763407,2.3645620049,+1
357,49.9565786487,8.2698463484,-1
357,48.8211123364,2.3406381923,-1
359,48.8703024909,2.335035982,+1
360,48.8416434857,2.4015268578,+1
357,45.7520501331,4.8539545423,+1
361,45.76336926,4.8407849665,-1
360,48.8612113294,2.2979475322,-1
357,48.8654781184,2.3167258945,-1
358,49.0119817055,8.4259339909,-1
367,48.666171,2.556022,-1
356,49.6278060638,6.1252167021,-1
365,48.8403249701,2.2842460244,-1
357,48.862083377,2.289682915,-1
362,48.7684849105,2.3589813487,-1
362,48.8942388231,2.3845931812,-1
358,48.8918252069,2.3871182809,+1
360,45.7828652474,4.850214187,-1
364,47.133694,7.249626,-1
360,48.842141235,2.3582628073,-1
358,48.844507778,2.3346693416,-1
360,48.8605025925,2.3372152298,-1
361,48.8608202934,2.3370657671,-1
360,48.8515543171,2.3440286471,-1
356,45.4721538547,9.1728270188,-1
364,45.4706367959,9.1741564902,-1
361,50.0846501236,8.2437761296,+1
357,50.0821951697,8.2407961797,-1
358,49.4524257514,1.0704002495,-1
365,45.7530647131,4.8317487367,+1
362,45.7512335895,4.8259094258,-1
364,45.7510476197,4.8267995678,-1
357,48.850853,2.34358,+1
365,48.8461720584,2.3611445196,-1
361,48.9366830369,2.3693067601,-1
367,48.8542238923,2.3403856839,+1
365,48.8570155055,2.3423722427,-1
367,48.8484532092,2.3340284669,-1
365,48.9261364652,2.3573306202,-1
365,48.8563979016,2.3417943771,-1
361,48.8609548248,2.3304032176,-1
359,48.8633349364,2.3255058981,-1
359,48.8606574489,2.2901819407,-1
356,48.8550408341,2.2877990344,-1
357,49.5121674991,8.5074802628,-1
360,48.89676497,2.3880621085,-1
363,48.8964633349,2.3874205979,-1
358,48.8956979723,2.3901727119,-1
357,49.6270921172,6.1266166923,-1
364,45.7609099515,4.8532798346,-1
358,48.8717408417,2.7753815631,-1
356,48.838458893,2.2791875784,-1
356,48.822298467,2.3402974792,-1
357,50.0822907012,8.2473911972,-1
366,49.4838327456,8.4769415292,-1
362,49.4840239541,8.4776063209,-1
368,48.8543120087,2.3515453703,-1
356,48.8626683615,2.3622541038,-1
366,48.848454979,2.3339408379,-1
367,48.861407284,2.3352699646,+1
364,48.8606117759,2.3395953284,-1
362,48.8507354013,2.3572206757,-1
356,48.8611032167,2.3463986685,-1
363,48.8798500679,2.2584719592,-1
366,48.781942325,9.1829663046,-1
356,48.9169634841,2.2926222942,+1
357,45.7729762122,3.0880852366,-1
359,48.8934103837,2.29326654,-1
357,48.7493557764,9.2730957835,-1
362,48.9039008274,2.327690499,-1
360,45.4742652537,9.1733270599,-1
357,45.4681003355,9.1752474705,-1
362,45.4705843324,9.1812360883,-1
363,48.8742724572,2.778112339,+1
361,48.8412664122,2.2803772645,-1
357,48.8556529388,2.2846909631,-1
364,48.8399462797,2.2755383802,-1
362,48.8922680188,2.3617294634,-1
357,48.8818198635,2.3530352796,-1
359,48.8948475412,2.3856124304,-1
362,48.8895319662,2.3876292784,-1
363,48.8923425896,2.3887459103,-1
360,48.880526155,2.366291377,-1
366,48.8956029629,2.3795156358,-1
367,45.7544647521,4.8302258119,+1
356,48.8607577067,2.3362702692,-1
357,48.8528788074,2.3485286094,-1
356,48.8784451524,2.3525795943,+1
362,48.8594074205,2.3446775192,-1
358,48.9364143989,2.3593300618,+1
357,48.8531590549,2.3502203356,+1
362,48.8559666323,2.2966455281,-1
360,48.5961618009,2.2548669847,-1
356,48.9706870035,2.4017079096,-1
359,48.75177835,2.3694996208,-1
361,48.7446834558,2.3670692655,+1
357,45.4342223592,12.3361350849,-1
358,47.481286623,19.0847565637,-1
363,47.4930776444,19.0527359304,-1
357,46.0760258939,18.2281868835,-1
362,50.0909115746,14.4177649265,-1
358,49.2249181792,14.4151772401,-1
363,46.0499250212,14.5056859983,-1
356,47.7974223174,13.0543322867,-1
368,46.0498073334,14.5054200409,-1
357,48.1854584976,16.3116809022,-1
361,45.4345760911,12.3335820747,-1
362,45.4345476067,12.3358905333,-1
359,45.433898842,12.3384112577,+1
364,45.4324293785,12.3327399449,-1
358,45.7986530846,15.9626539822,-1
357,49.2253727767,14.4154135054,-1
362,49.225052118,14.416029743,-1
366,47.7736781097,13.0698740661,-1
357,46.0664407434,14.5179332473,-1
357,50.0972924836,14.424997662,-1
361,45.8107827524,15.9809015336,-1
361,45.8085836809,15.9755595589,+1
361,48.1875219077,16.3839693208,-1
361,50.0899412864,14.4241366943,-1
363,48.1873982226,16.3125985222,-1
361,46.544394,15.643076,-1
361,48.2126889131,16.3509051896,-1
357,48.2128639859,16.351346192,+1
358,48.154779,16.453289,-1
357,50.0874910942,14.4195317291,-1
356,50.0971434787,14.4242317258,-1
359,50.0961206274,14.4251878616,-1
357,48.1874301508,16.3118306363,-1
358,48.3062480676,14.2871245958,-1
359,45.4368284552,12.3389193511,-1
361,45.4343469133,12.3390908617,-1
359,49.5914246756,17.2511644736,+1
361,47.4817324681,19.0821694105,-1
364,45.8116711361,15.9688502224,+1
363,48.1870640582,16.3843735893,-1
364,45.8137634268,15.969629538,-1
356,48.8599625148,2.3444599072,+1
364,49.4433547853,1.0889757338,-1
357,49.4581679422,1.0680884516,+1
358,49.9079633954,2.2843097337,-1
357,48.8576195268,2.3045003578,-1
360,48.8934790054,2.3870814382,-1
358,48.8738880427,2.3753208281,-1
358,50.0819716079,8.2393966012,-1
362,48.8232509353,2.3398497592,-1
367,48.8600321222,2.3603652858,-1
361,48.8334732256,2.3436761691,-1
362,48.851422425,2.3466518897,-1
367,48.8558093231,2.3475416702,-1
364,48.8396414928,2.3497153905,+1
362,48.8637027026,2.3345806904,-1
359,48.9320331219,2.3655711798,-1
365,48.8469955692,2.3361028717,-1
364,48.8616305028,2.3359030522,-1
370,48.84777723,2.336342782,-1
367,48.8571761259,2.3422098713,-1
366,48.8402428292,2.3510819063,-1
361,48.8493880853,2.3499958083,-1
367,48.8702272615,2.2636697615,-1
366,48.8802388902,2.2667499383,-1
356,48.8377256372,2.4900271014,+1
363,45.4711794753,9.1747866891,-1
363,45.4706239041,9.1761538158,+1
361,49.1733217008,2.4088964282,-1
360,48.8573087104,2.2964032411,-1
362,48.8568270462,2.2968906329,-1
361,48.8575932639,2.2979177232,-1
357,48.8643683844,2.3132116388,-1
361,48.8457488853,2.6146193221,-1
356,48.8527230482,2.487556279,-1
357,48.8398502842,2.3510493812,-1
359,48.8447318883,2.3430261961,-1
356,48.8458453375,2.3424158743,-1
358,48.8531215996,2.3520614637,-1
362,48.8501891671,2.3454084661,-1
357,48.9715771317,2.1942899353,-1
362,48.8769658956,2.3206503929,-1
356,49.2575007231,4.0248492721,-1
358,48.8915330057,2.2926756597,-1
356,48.9010218432,2.3063588923,-1
357,48.8406303784,2.2847089035,-1
356,48.8536566822,2.286196504,-1
358,49.4789148177,8.4610944493,-1
364,48.8922608191,2.3926994755,-1
356,50.0811459124,8.2453097077,-1
356,48.9059564697,2.3350702067,-1
357,48.9014291651,2.3448108292,+1
356,48.8649697051,2.3497053506,-1
364,48.8670958013,2.3534838081,-1
358,48.8671769917,2.3378529525,-1
365,48.8717890383,2.3315568063,-1
363,48.8812681102,2.3530774231,-1
363,48.8862765899,2.342855465,-1
356,48.8641327211,2.3249566582,-1
356,48.8641600993,2.3275052841,-1
356,48.8884649008,2.3783011272,-1
370,47.694656,7.404578,-1
363,48.7817789545,9.1840171238,-1
359,48.8418108462,2.2806839822,+1
357,48.8582276069,2.344667846,-1
357,48.8541979985,2.3338865396,+1
360,48.8625221056,2.3307075714,-1
363,48.851871976,2.3438792833,+1
356,48.8525897512,2.3511391778,-1
362,45.474730633,9.176752945,+1
357,48.8656534168,2.2961134273,-1
359,48.8602094394,2.2969012436,-1
362,48.8637029551,2.3267653298,-1
358,48.8590310796,2.3243630703,-1
356,48.8693693736,2.2912362852,-1
358,48.7926465642,9.2359841672,-1
356,49.4613595207,1.0752738735,-1
358,49.0120031577,8.4256414824,-1
367,48.9258952034,2.3575747091,-1
359,48.8630690472,2.3347920076,-1
368,48.8606791678,2.3362638021,-1
360,48.8600407069,2.3406020799,+1
361,45.7527386068,4.8289285348,-1
366,48.8489436833,2.3486419305,-1
358,48.8603856906,2.3468663298,-1
365,48.8558039802,2.3478046939,-1
367,48.8642484129,2.3580800186,-1
366,49.0046607043,1.9116181084,-1
364,48.8596590368,2.3439078703,-1
361,50.0817215729,8.245171381,-1
365,48.8416296271,2.2818965962,-1
356,48.8612950752,2.3369292396,-1
357,48.8553828202,2.3491749986,-1
356,45.4459401067,8.6171414206,+1
357,48.8706202447,2.3348864509,-1
359,48.8768374244,2.3387370067,-1
357,48.8673625238,2.747832084,-1
359,48.8137627273,2.6958846604,-1
362,48.8744741447,2.3582269153,-1
360,48.8667493777,2.3317574494,+1
364,48.8909813407,2.3898633351,+1
363,48.8933949816,2.387338388,+1
361,48.8958872549,2.3848197651,-1
364,48.8897238367,2.2926172723,-1
357,50.0833608328,8.2403183768,-1
358,48.8561587519,2.3419502628,-1
363,48.9403255713,2.3529608094,-1
360,48.8494217212,2.3444670497,+1
359,48.8557216609,2.3441095078,+1
358,48.861454947,2.3484480333,-1
356,48.8520257983,2.3517949894,-1
363,45.1474333107,5.7151380056,+1
357,45.7710258553,3.0861814868,-1
357,49.4422953925,1.0918125534,-1
367,48.8403266999,2.2841585063,-1
362,48.8814369742,2.2537733721,-1
358,48.780829642,9.1840085817,-1
356,45.4698872067,9.1770075054,+1
358,45.7715655051,4.8505607845,-1
361,48.8750376434,2.3382371999,+1
356,48.8852284498,2.3440874148,-1
356,45.4447206365,8.6185695642,-1
356,49.4397855355,10.9900812672,-1
360,45.4710140889,9.1759159743,-1
358,45.4727130285,9.1760100142,-1
357,45.4688118409,9.1792983464,+1
360,48.8388113182,2.4907386588,-1
360,48.8222017517,2.3373074849,-1
356,48.8235684279,2.3397005135,-1
357,48.8655515996,2.3481721886,+1
357,48.8674831764,2.3537795448,-1
365,48.896953985,2.3364393519,-1
364,48.8906615843,2.3901004087,-1
366,48.666171,2.556022,+1
357,49.2556318783,4.0329694805,+1
364,45.7825562289,4.8504973433,-1
359,45.7608993515,4.8535295937,-1
362,48.8535095463,2.3368148383,-1
362,48.8527499896,2.3432493734,+1
358,48.856572,2.342699,-1
361,48.8538458276,2.3435154928,-1
356,48.9302485892,2.3565276482,-1
361,48.9295480524,2.3561172228,-1
357,48.9314453976,2.3634964022,-1
359,48.8633105423,2.3384126343,-1
367,45.7525982761,4.8287372435,-1
362,48.8629612394,2.3440050178,-1
364,48.83406924,2.3453049333,-1
358,48.8629934747,2.3732662685,-1
360,48.8600195815,2.3609792533,-1
361,48.864410803,2.3732090399,-1
356,48.8574849246,2.2954524751,-1
357,48.8558759123,2.2972522738,-1
358,48.8927686534,2.390982037,-1
358,48.8852482791,2.2920800082,-1
357,48.8760350063,2.2963392634,-1
361,48.8482812835,2.3073385894,-1
356,48.8496296269,2.314642509,-1
365,48.8628266252,2.3273080909,-1
362,48.8631291794,2.2924871725,-1
358,50.0819307169,8.2467721155,-1
361,50.0844204402,8.2458634475,-1
364,48.8411782546,2.2848406778,-1
360,48.8570648693,2.2848923645,-1
356,48.8655120803,2.3306897483,-1
358,49.6121546615,6.1368745788,-1
356,45.4738664196,9.1718335203,-1
362,48.8895578908,2.3901834214,-1
356,49.2569770546,4.0239453992,-1
359,48.8230154765,2.3398303445,-1
360,48.0160930984,7.826205899,-1
365,48.8226979868,2.3399795863,-1
360,48.8662237825,2.3383014152,-1
364,48.8663584094,2.3316374945,-1
362,48.8682890874,2.3373297139,+1
365,48.8771077325,2.3564240714,-1
363,48.8808763407,2.3645620049,+1
357,49.9565786487,8.2698463484,-1
357,48.8211123364,2.3406381923,-1
359,48.8703024909,2.335035982,+1
360,48.8416434857,2.4015268578,+1
356,45.7611870341,4.8537461763,+1
357,45.7520501331,4.8539545423,+1
361,45.76336926,4.8407849665,-1
360,48.8612113294,2.2979475322,-1
357,48.8654781184,2.3167258945,-1
358,49.0119817055,8.4259339909,-1
367,48.666171,2.556022,-1
356,49.6278060638,6.1252167021,-1
365,48.8403249701,2.2842460244,-1
357,48.862083377,2.289682915,-1
362,48.7684849105,2.3589813487,-1
362,48.8942388231,2.3845931812,-1
358,48.8918252069,2.3871182809,+1
360,45.7828652474,4.850214187,-1
364,47.133694,7.249626,-1
360,48.842141235,2.3582628073,-1
358,48.844507778,2.3346693416,-1
360,48.8605025925,2.3372152298,-1
361,48.8608202934,2.3370657671,-1
360,48.8515543171,2.3440286471,-1
356,45.4721538547,9.1728270188,-1
364,45.4706367959,9.1741564902,-1
361,50.0846501236,8.2437761296,+1
357,50.0821951697,8.2407961797,-1
358,49.4524257514,1.0704002495,-1
365,45.7530647131,4.8317487367,+1
362,45.7512335895,4.8259094258,-1
364,45.7510476197,4.8267995678,-1
357,48.850853,2.34358,+1
365,48.8461720584,2.3611445196,-1
356,48.8641514462,2.3396237366,-1
361,48.9366830369,2.3693067601,-1
367,48.8542238923,2.3403856839,+1
365,48.8570155055,2.3423722427,-1
367,48.8484532092,2.3340284669,-1
365,48.9261364652,2.3573306202,-1
365,48.8563979016,2.3417943771,-1
361,48.8609548248,2.3304032176,-1
356,48.8784451524,2.3525795943,+1
359,48.8934103837,2.29326654,-1
362,48.9039008274,2.327690499,-1
357,48.7493557764,9.2730957835,-1
360,45.4742652537,9.1733270599,-1
357,45.4681003355,9.1752474705,-1
362,45.4705843324,9.1812360883,-1
362,48.8559666323,2.2966455281,-1
364,45.7609099515,4.8532798346,-1
357,50.0822907012,8.2473911972,-1
360,48.880526155,2.366291377,-1
362,48.8922680188,2.3617294634,-1
357,48.8818198635,2.3530352796,-1
366,48.781942325,9.1829663046,-1
359,48.8633349364,2.3255058981,-1
359,48.8606574489,2.2901819407,-1
356,48.8550408341,2.2877990344,-1
356,48.8568844511,2.2940002847,-1
358,48.8717408417,2.7753815631,-1
356,48.838458893,2.2791875784,-1
356,48.9169634841,2.2926222942,+1
357,49.5121674991,8.5074802628,-1
356,48.822298467,2.3402974792,-1
357,45.7729762122,3.0880852366,-1
363,48.8964633349,2.3874205979,-1
358,48.8956979723,2.3901727119,-1
360,48.89676497,2.3880621085,-1
362,48.8594074205,2.3446775192,-1
358,48.9364143989,2.3593300618,+1
357,48.8531590549,2.3502203356,+1
366,49.4838327456,8.4769415292,-1
362,49.4840239541,8.4776063209,-1
356,48.8607577067,2.3362702692,-1
357,48.8528788074,2.3485286094,-1
360,48.5961618009,2.2548669847,-1
356,48.9706870035,2.4017079096,-1
359,48.75177835,2.3694996208,-1
361,48.7446834558,2.3670692655,+1
362,48.8507354013,2.3572206757,-1
366,48.848454979,2.3339408379,-1
367,48.861407284,2.3352699646,+1
364,48.8606117759,2.3395953284,-1
356,48.8611032167,2.3463986685,-1
368,48.8543120087,2.3515453703,-1
356,48.8626683615,2.3622541038,-1
367,45.7544647521,4.8302258119,+1
363,48.8798500679,2.2584719592,-1
357,49.6270921172,6.1266166923,-1
363,48.8742724572,2.778112339,+1
361,48.8412664122,2.2803772645,-1
357,48.8556529388,2.2846909631,-1
364,48.8399462797,2.2755383802,-1
366,48.8956029629,2.3795156358,-1
359,48.8948475412,2.3856124304,-1
362,48.8895319662,2.3876292784,-1
363,48.8923425896,2.3887459103,-1
